year,state.code,state.name,gender.female.math,gender.female.verbal,female.total.score,gender.male.math,gender.male.verbal,male.total.score
2005,AL,Alabama,538,561,1099,582,574,1156
2005,AK,Alaska,505,521,1026,535,526,1061
2005,AZ,Arizona,513,522,1035,549,531,1080
2005,AR,Arkansas,536,558,1094,570,570,1140
2005,CA,California,504,499,1003,543,510,1053
2005,CO,Colorado,546,558,1104,577,561,1138
2005,CT,Connecticut,502,513,1015,534,520,1054
2005,DE,Delaware,486,498,984,521,508,1029
2005,DC,District Of Columbia,451,475,926,509,508,1017
2005,FL,Florida,484,496,980,516,502,1018
2005,GA,Georgia,482,493,975,514,501,1015
2005,HI,Hawaii,503,489,992,531,491,1022
2005,ID,Idaho,528,539,1067,557,548,1105
2005,IL,Illinois,586,590,1176,627,599,1226
2005,IN,Indiana,491,498,989,529,510,1039
2005,IA,Iowa,584,591,1175,632,602,1234
2005,KS,Kansas,568,583,1151,610,588,1198
2005,KY,Kentucky,539,555,1094,582,567,1149
2005,LA,Louisiana,544,557,1101,583,574,1157
2005,ME,Maine,487,504,991,527,515,1042
2005,MD,Maryland,500,508,1008,533,515,1048
2005,MA,Massachusetts,511,515,1026,545,525,1070
2005,MI,Michigan,559,563,1122,601,574,1175
2005,MN,Minnesota,578,588,1166,620,597,1217
2005,MS,Mississippi,534,555,1089,578,574,1152
2005,MO,Missouri,571,587,1158,604,589,1193
2005,MT,Montana,526,535,1061,557,546,1103
2005,NE,Nebraska,557,566,1123,605,583,1188
2005,NV,Nevada,496,505,1001,533,512,1045
2005,NH,New Hampshire,508,521,1029,545,531,1076
2005,NJ,New Jersey,502,499,1001,534,507,1041
2005,NM,New Mexico,526,550,1076,570,566,1136
2005,NY,New York,496,492,988,528,502,1030
2005,NC,North Carolina,498,497,995,527,503,1030
2005,ND,North Dakota,588,588,1176,624,592,1216
2005,OH,Ohio,525,534,1059,564,544,1108
2005,OK,Oklahoma,542,565,1107,587,576,1163
2005,OR,Oregon,512,523,1035,547,530,1077
2005,PA,Pennsylvania,487,496,983,522,506,1028
2005,PR,Puerto Rico,451,465,916,466,459,925
2005,RI,Rhode Island,490,498,988,523,509,1032
2005,SC,South Carolina,485,490,975,517,499,1016
2005,SD,South Dakota,573,584,1157,609,594,1203
2005,TN,Tennessee,544,567,1111,585,579,1164
2005,TX,Texas,488,489,977,519,498,1017
2005,UT,Utah,540,563,1103,576,570,1146
2005,VT,Vermont,502,518,1020,534,523,1057
2005,VI,Virgin Islands,395,417,812,424,433,857
2005,VA,Virginia,492,516,1008,533,532,1065
2005,WA,Washington,518,529,1047,552,535,1087
2005,WI,Wisconsin,585,589,1174,615,594,1209
2005,WY,Wyoming,530,542,1072,563,547,1110
2006,AL,Alabama,542,561,1103,583,571,1154
2006,AK,Alaska,501,514,1015,537,521,1058
2006,AZ,Arizona,512,520,1032,547,521,1068
2006,AR,Arkansas,550,571,1121,587,577,1164
2006,CA,California,500,497,997,541,505,1046
2006,CO,Colorado,549,557,1106,581,558,1139
2006,CT,Connecticut,501,512,1013,534,513,1047
2006,DE,Delaware,482,490,972,522,501,1023
2006,DC,District Of Columbia,449,475,924,498,500,998
2006,FL,Florida,482,495,977,515,497,1012
2006,GA,Georgia,481,492,973,514,497,1011
2006,HI,Hawaii,497,480,977,525,483,1008
2006,ID,Idaho,531,545,1076,560,540,1100
2006,IL,Illinois,590,589,1179,629,594,1223
2006,IN,Indiana,492,494,986,530,503,1033
2006,IA,Iowa,589,595,1184,639,611,1250
2006,KS,Kansas,573,583,1156,609,581,1190
2006,KY,Kentucky,544,561,1105,582,562,1144
2006,LA,Louisiana,552,562,1114,594,580,1174
2006,ME,Maine,484,499,983,522,504,1026
2006,MD,Maryland,493,502,995,527,505,1032
2006,MA,Massachusetts,508,510,1018,542,516,1058
2006,MI,Michigan,565,567,1132,604,571,1175
2006,MN,Minnesota,583,591,1174,620,591,1211
2006,MS,Mississippi,518,547,1065,572,570,1142
2006,MO,Missouri,574,587,1161,608,586,1194
2006,MT,Montana,532,539,1071,559,536,1095
2006,NE,Nebraska,565,574,1139,605,577,1182
2006,NV,Nevada,492,497,989,527,499,1026
2006,NH,New Hampshire,506,518,1024,543,523,1066
2006,NJ,New Jersey,500,494,994,531,499,1030
2006,NM,New Mexico,535,558,1093,564,555,1119
2006,NY,New York,495,491,986,527,496,1023
2006,NC,North Carolina,500,494,994,529,497,1026
2006,ND,North Dakota,602,602,1204,632,619,1251
2006,OH,Ohio,526,532,1058,564,538,1102
2006,OK,Oklahoma,556,575,1131,593,578,1171
2006,OR,Oregon,512,521,1033,549,526,1075
2006,PA,Pennsylvania,483,491,974,518,496,1014
2006,PR,Puerto Rico,443,465,908,458,452,910
2006,RI,Rhode Island,486,493,979,520,499,1019
2006,SC,South Carolina,485,486,971,515,489,1004
2006,SD,South Dakota,585,591,1176,626,590,1216
2006,TN,Tennessee,551,571,1122,587,577,1164
2006,TX,Texas,492,489,981,522,493,1015
2006,UT,Utah,538,557,1095,576,564,1140
2006,VT,Vermont,503,512,1015,536,515,1051
2006,VI,Virgin Islands,392,423,815,416,424,840
2006,VA,Virginia,492,516,1008,533,524,1057
2006,WA,Washington,515,526,1041,553,529,1082
2006,WI,Wisconsin,581,587,1168,620,588,1208
2006,WY,Wyoming,546,551,1097,565,546,1111
2007,AL,Alabama,538,556,1094,579,571,1150
2007,AK,Alaska,501,516,1017,539,524,1063
2007,AZ,Arizona,510,517,1027,545,522,1067
2007,AR,Arkansas,549,571,1120,589,587,1176
2007,CA,California,499,496,995,537,503,1040
