state.code,income.bracket,average.math.score.of.bracket,average.verbal.score.of.bracket
AL,income.less.than.20k,462,474
AL,income.between.20.40k,513,527
AL,income.between.40.60k,539,551
AL,income.between.60.80k,550,564
AL,income.between.80.100k,566,577
AL,income.more.than.100k,588,590
AK,income.less.than.20k,464,467
AK,income.between.20.40k,492,500
AK,income.between.40.60k,517,522
AK,income.between.60.80k,513,519
AK,income.between.80.100k,528,534
AK,income.more.than.100k,541,544
AZ,income.less.than.20k,485,474
AZ,income.between.20.40k,498,495
AZ,income.between.40.60k,520,518
AZ,income.between.60.80k,524,523
AZ,income.between.80.100k,534,533
AZ,income.more.than.100k,554,546
AR,income.less.than.20k,489,486
AR,income.between.20.40k,513,526
AR,income.between.40.60k,543,555
AR,income.between.60.80k,553,570
AR,income.between.80.100k,570,580
AR,income.more.than.100k,572,589
CA,income.less.than.20k,451,421
CA,income.between.20.40k,477,458
CA,income.between.40.60k,506,494
CA,income.between.60.80k,521,511
CA,income.between.80.100k,535,525
CA,income.more.than.100k,566,551
CO,income.less.than.20k,514,505
CO,income.between.20.40k,533,535
CO,income.between.40.60k,543,548
CO,income.between.60.80k,553,552
CO,income.between.80.100k,562,560
CO,income.more.than.100k,574,568
CT,income.less.than.20k,434,426
CT,income.between.20.40k,463,467
CT,income.between.40.60k,493,499
CT,income.between.60.80k,507,511
CT,income.between.80.100k,523,523
CT,income.more.than.100k,565,559
DE,income.less.than.20k,411,410
DE,income.between.20.40k,449,454
DE,income.between.40.60k,481,487
DE,income.between.60.80k,497,501
DE,income.between.80.100k,512,510
DE,income.more.than.100k,554,550
DC,income.less.than.20k,374,377
DC,income.between.20.40k,391,404
DC,income.between.40.60k,433,454
DC,income.between.60.80k,470,482
DC,income.between.80.100k,539,549
DC,income.more.than.100k,608,622
FL,income.less.than.20k,433,431
FL,income.between.20.40k,471,473
FL,income.between.40.60k,492,496
FL,income.between.60.80k,504,505
FL,income.between.80.100k,516,517
FL,income.more.than.100k,544,538
GA,income.less.than.20k,425,423
