year,state.code,state.name,female.total.score,male.total.score
2005,AL,Alabama,1099,1156
2005,AK,Alaska,1026,1061
2005,AZ,Arizona,1035,1080
2005,AR,Arkansas,1094,1140
2005,CA,California,1003,1053
2005,CO,Colorado,1104,1138
2005,CT,Connecticut,1015,1054
2005,DE,Delaware,984,1029
2005,DC,District Of Columbia,926,1017
2005,FL,Florida,980,1018
2005,GA,Georgia,975,1015
2005,HI,Hawaii,992,1022
2005,ID,Idaho,1067,1105
2005,IL,Illinois,1176,1226
2005,IN,Indiana,989,1039
2005,IA,Iowa,1175,1234
2005,KS,Kansas,1151,1198
2005,KY,Kentucky,1094,1149
2005,LA,Louisiana,1101,1157
2005,ME,Maine,991,1042
2005,MD,Maryland,1008,1048
2005,MA,Massachusetts,1026,1070
2005,MI,Michigan,1122,1175
2005,MN,Minnesota,1166,1217
2005,MS,Mississippi,1089,1152
2005,MO,Missouri,1158,1193
2005,MT,Montana,1061,1103
2005,NE,Nebraska,1123,1188
2005,NV,Nevada,1001,1045
2005,NH,New Hampshire,1029,1076
2005,NJ,New Jersey,1001,1041
2005,NM,New Mexico,1076,1136
2005,NY,New York,988,1030
2005,NC,North Carolina,995,1030
2005,ND,North Dakota,1176,1216
2005,OH,Ohio,1059,1108
2005,OK,Oklahoma,1107,1163
2005,OR,Oregon,1035,1077
2005,PA,Pennsylvania,983,1028
2005,PR,Puerto Rico,916,925
2005,RI,Rhode Island,988,1032
2005,SC,South Carolina,975,1016
2005,SD,South Dakota,1157,1203
2005,TN,Tennessee,1111,1164
2005,TX,Texas,977,1017
2005,UT,Utah,1103,1146
2005,VT,Vermont,1020,1057
2005,VI,Virgin Islands,812,857
2005,VA,Virginia,1008,1065
2005,WA,Washington,1047,1087
2005,WI,Wisconsin,1174,1209
2005,WY,Wyoming,1072,1110
2006,AL,Alabama,1103,1154
2006,AK,Alaska,1015,1058
2006,AZ,Arizona,1032,1068
2006,AR,Arkansas,1121,1164
2006,CA,California,997,1046
2006,CO,Colorado,1106,1139
2006,CT,Connecticut,1013,1047
2006,DE,Delaware,972,1023
2006,DC,District Of Columbia,924,998
2006,FL,Florida,977,1012
2006,GA,Georgia,973,1011
2006,HI,Hawaii,977,1008
2006,ID,Idaho,1076,1100
2006,IL,Illinois,1179,1223
2006,IN,Indiana,986,1033
2006,IA,Iowa,1184,1250
2006,KS,Kansas,1156,1190
2006,KY,Kentucky,1105,1144
2006,LA,Louisiana,1114,1174
2006,ME,Maine,983,1026
2006,MD,Maryland,995,1032
2006,MA,Massachusetts,1018,1058
2006,MI,Michigan,1132,1175
2006,MN,Minnesota,1174,1211
2006,MS,Mississippi,1065,1142
2006,MO,Missouri,1161,1194
2006,MT,Montana,1071,1095
2006,NE,Nebraska,1139,1182
2006,NV,Nevada,989,1026
2006,NH,New Hampshire,1024,1066
2006,NJ,New Jersey,994,1030
2006,NM,New Mexico,1093,1119
2006,NY,New York,986,1023
2006,NC,North Carolina,994,1026
2006,ND,North Dakota,1204,1251
2006,OH,Ohio,1058,1102
2006,OK,Oklahoma,1131,1171
2006,OR,Oregon,1033,1075
2006,PA,Pennsylvania,974,1014
2006,PR,Puerto Rico,908,910
2006,RI,Rhode Island,979,1019
2006,SC,South Carolina,971,1004
2006,SD,South Dakota,1176,1216
2006,TN,Tennessee,1122,1164
2006,TX,Texas,981,1015
2006,UT,Utah,1095,1140
2006,VT,Vermont,1015,1051
2006,VI,Virgin Islands,815,840
2006,VA,Virginia,1008,1057
2006,WA,Washington,1041,1082
2006,WI,Wisconsin,1168,1208
2006,WY,Wyoming,1097,1111
2007,AL,Alabama,1094,1150
2007,AK,Alaska,1017,1063
2007,AZ,Arizona,1027,1067
2007,AR,Arkansas,1120,1176
2007,CA,California,995,1040
2007,CO,Colorado,1110,1145
2007,CT,Connecticut,1006,1041
2007,DE,Delaware,974,1017
2007,DC,District Of Columbia,902,991
2007,FL,Florida,978,1012
2007,GA,Georgia,974,1008
2007,HI,Hawaii,981,1004
2007,ID,Idaho,1064,1099
2007,IL,Illinois,1185,1228
2007,IN,Indiana,984,1030
2007,IA,Iowa,1200,1246
2007,KS,Kansas,1195,1154
2007,KY,Kentucky,1113,1154
2007,LA,Louisiana,1118,1159
2007,ME,Maine,931,936
2007,MD,Maryland,986,1025
2007,MA,Massachusetts,1017,1057
