"","state.name","total.score","income.between.20.40k","income.between.40.60k","income.between.60.80k","income.between.80.100k","income.less.than.20k","income.more.than.100k","female.total.score","male.total.score","year"
"1","Alabama",1126,1040,1090,1114,1143,936,1178,1099,1156,2005
"2","Alaska",1042,992,1039,1032,1062,931,1085,1026,1061,2005
"3","Arizona",1056,993,1038,1047,1067,959,1100,1035,1080,2005
"4","Arkansas",1115,1039,1098,1123,1150,975,1161,1094,1140,2005
"5","California",1026,935,1000,1032,1060,872,1117,1003,1053,2005
"6","Colorado",1120,1068,1091,1105,1122,1019,1142,1104,1138,2005
"7","Connecticut",1034,930,992,1018,1046,860,1124,1015,1054,2005
"8","Delaware",1005,903,968,998,1022,821,1104,984,1029,2005
"9","District Of Columbia",968,795,887,952,1088,751,1230,926,1017,2005
"10","Florida",996,944,988,1009,1033,864,1082,980,1018,2005
"11","Georgia",993,921,969,1002,1033,848,1087,975,1015,2005
"12","Hawaii",1006,952,983,1001,1045,888,1100,992,1022,2005
"13","Idaho",1086,1045,1067,1083,1104,1030,1125,1067,1105,2005
"14","Illinois",1200,1125,1154,1185,1208,1064,1230,1176,1226,2005
"15","Indiana",1012,955,995,1013,1040,898,1086,989,1039,2005
"16","Iowa",1204,1149,1185,1232,1234,800,1229,1175,1234,2005
"17","Kansas",1173,1112,1156,1165,1196,1045,1193,1151,1198,2005
"18","Kentucky",1120,1048,1093,1110,1129,979,1156,1094,1149,2005
"19","Louisiana",1127,1002,1112,1123,1155,933,1192,1101,1157,2005
"20","Maine",1014,976,1002,1022,1051,921,1091,991,1042,2005
"21","Maryland",1026,914,972,1018,1058,832,1130,1008,1048,2005
"22","Massachusetts",1047,957,1009,1033,1064,876,1135,1026,1070,2005
"23","Michigan",1147,1046,1097,1136,1162,976,1195,1122,1175,2005
"24","Minnesota",1189,1139,1147,1171,1194,1041,1218,1166,1217,2005
"25","Mississippi",1118,1056,1104,1128,1169,676,1205,1089,1152,2005
"26","Missouri",1176,1064,1142,1164,1189,1009,1201,1158,1193,2005
"27","Montana",1080,1062,1073,1076,1094,1003,1120,1061,1103,2005
"28","Nebraska",1153,1081,1129,1161,1160,777,1183,1123,1188,2005
"29","Nevada",1021,972,1000,1015,1030,929,1070,1001,1045,2005
"30","New Hampshire",1050,987,1014,1033,1052,976,1101,1029,1076,2005
"31","New Jersey",1020,919,984,1010,1041,832,1114,1001,1041,2005
"32","New Mexico",1105,1028,1066,1100,1133,986,1156,1076,1136,2005
"33","New York",1008,945,999,1028,1051,871,1118,988,1030,2005
"34","North Carolina",1010,942,996,1025,1057,854,1114,995,1030,2005
"35","North Dakota",1195,552,1210,1200,1218,257,1220,1176,1216,2005
"36","Ohio",1082,995,1048,1075,1096,922,1132,1059,1108,2005
"37","Oklahoma",1133,1067,1118,1146,1148,1016,1166,1107,1163,2005
"38","Oregon",1054,1007,1035,1060,1076,956,1114,1035,1077,2005
"39","Pennsylvania",1004,936,988,1016,1044,854,1108,983,1028,2005
"40","Puerto Rico",920,862,908,929,967,799,1019,916,925,2005
"41","Rhode Island",1008,935,995,1027,1061,832,1104,988,1032,2005
"42","South Carolina",993,935,986,1017,1045,854,1080,975,1016,2005
"43","South Dakota",1178,1120,1172,1198,1194,531,1267,1157,1203,2005
"44","Tennessee",1135,1060,1101,1134,1154,997,1173,1111,1164,2005
"45","Texas",995,926,984,1013,1049,846,1101,977,1017,2005
"46","Utah",1123,1101,1121,1146,1126,1055,1167,1103,1146,2005
"47","Vermont",1038,992,1017,1042,1078,950,1109,1020,1057,2005
"48","Virgin Islands",827,818,845,909,920,753,1066,812,857,2005
"49","Virginia",1034,992,1007,1037,1043,962,1101,1008,1065,2005
"50","Washington",1066,1000,1046,1063,1080,949,1117,1047,1087,2005
"51","Wisconsin",1191,1118,1171,1186,1210,1003,1227,1174,1209,2005
"52","Wyoming",1087,1015,1086,1099,1111,474,1121,1072,1110,2005
"53","Alabama",1128,1035,1082,1128,1153,904,1177,1103,1154,2006
"54","Alaska",1036,970,1025,1030,1059,959,1083,1015,1058,2006
"55","Arizona",1049,996,1025,1045,1068,966,1089,1032,1068,2006
"56","Arkansas",1142,1094,1133,1134,1149,1009,1192,1121,1164,2006
